Date,Close,High,Low,Open,Volume
2010-12-09,0.34060391783714294,0.34289602864912944,0.33326925613967373,0.33808264239440156,942408000
2010-12-10,0.342666894197464,0.34587580094578224,0.33968717946042715,0.34060400215314746,451900000
2010-12-13,0.3339569568634033,0.34472974605808304,0.33304010688108826,0.344042142726092,609108000
2010-12-14,0.3344153165817261,0.3465633652131494,0.3339569053232141,0.34037474491375774,755160000
2010-12-15,0.3270806670188904,0.33922871611623556,0.3266222284190036,0.335102959983806,624176000
2010-12-16,0.3275390863418579,0.33235247316857824,0.3266222364433526,0.33051880069536127,631872000
2010-12-17,0.32937273383140564,0.33120640616553443,0.3238717168290194,0.3277682534616732,593156000
2010-12-20,0.32799744606018066,0.33212320164530307,0.32776822679064466,0.3305187487299192,344088000
2010-12-21,0.34083321690559387,0.34083321690559387,0.33097725013428037,0.33120646946627713,466952000
2010-12-22,0.3445006012916565,0.34495901268377116,0.33693671768846484,0.3401456247570674,477988000
2010-12-23,0.3419792056083679,0.34450050857211,0.3406039444783645,0.34450050857211,273784000
2010-12-27,0.3438129127025604,0.3463342159207367,0.3348737691030408,0.3410624174887834,255500000
2010-12-28,0.34243765473365784,0.34610499993656435,0.3403747901343952,0.3438129160156967,194260000
2010-12-29,0.34243765473365784,0.3449589579761305,0.33922874817396137,0.3422084627358485,177660000
2010-12-30,0.3435836434364319,0.3456465350397288,0.3408331486224941,0.34197919040528413,174488000
2010-12-31,0.35298120975494385,0.3534396483436783,0.34335446389599045,0.34381287516093256,391252000
2011-01-03,0.36260807514190674,0.36604620148891,0.3552733837425937,0.35573182244790025,817448000
2011-01-04,0.36146196722984314,0.36490009295100934,0.3534396738804553,0.36329563974589063,651384000
2011-01-05,0.3891963064670563,0.3896547452233807,0.36444178854903936,0.36810910733301816,1428216000
2011-01-06,0.4430602788925171,0.4432894982356788,0.39813539156528666,0.3992814336334987,3493312000
2011-01-07,0.4554375112056732,0.4568127725010387,0.4281616958887615,0.43801766230875827,2579984000
2011-01-10,0.47285738587379456,0.47377420857147534,0.44374789635116424,0.4471860224531633,1750348000
2011-01-11,0.4655226171016693,0.4838593412249914,0.4554374598195314,0.4792751738560573,2711088000
2011-01-12,0.5352023839950562,0.5356607682213395,0.4641476920449834,0.4657521461322124,3431896000
2011-01-13,0.536118745803833,0.5464331470870732,0.512968668219313,0.5294716884134687,2695192000
2011-01-14,0.5407030582427979,0.5496422011528811,0.5237416496295012,0.5269505559107865,1595352000
2011-01-18,0.5280966758728027,0.5370358205674222,0.5150318015139883,0.5333684749505836,1813348000
2011-01-19,0.5136564373970032,0.5409322500757937,0.5125104228601025,0.5283258169319541,1197896000
2011-01-20,0.5141149163246155,0.5170946308608904,0.4994455356390803,0.5086139258913351,1111408000
2011-01-21,0.5093015432357788,0.5269506398907524,0.5083847205303816,0.5196159489523843,739244000
2011-01-24,0.5668328404426575,0.5741675300057212,0.5267213491124523,0.5326807229039084,2056900000
2011-01-25,0.5494130849838257,0.5702710333377788,0.5457457395930794,0.5643116039087653,1086856000
2011-01-26,0.5624779462814331,0.573021543557248,0.5512467183443615,0.5551432556597551,1074660000
2011-01-27,0.5608736276626587,0.5718756115899936,0.5501008357949249,0.5705004045847812,657396000
2011-01-28,0.5445995330810547,0.5716461507088921,0.531763854770181,0.5622486249132437,1094796000
2011-01-31,0.5482668876647949,0.5558307686902798,0.5365772781924915,0.545516420249443,750160000
2011-02-01,0.5608736276626587,0.5649993579735078,0.5494132049685156,0.5530805511601626,654104000
2011-02-02,0.5863156914710999,0.5998390040421528,0.5576646129253227,0.5576646129253227,1606616000
2011-02-03,0.5753136277198792,0.5872324863218189,0.5627071384564742,0.5872324863218189,1030776000
2011-02-04,0.5883785486221313,0.592962716971262,0.5810439120520807,0.583335996226646,872900000
2011-02-07,0.5638530254364014,0.5828773218579613,0.5617901341191021,0.5803560466796456,934236000
2011-02-08,0.547120988368988,0.5682081828953564,0.5445996577315357,0.5645408375889106,1076584000
2011-02-09,0.5338267087936401,0.5546847050769897,0.5239707451388607,0.5491836614389164,1277520000
2011-02-10,0.5230540633201599,0.5319932069868646,0.518011456845908,0.5219079940383607,1042352000
2011-02-11,0.5379526615142822,0.5549141287351942,0.5127397346857474,0.5212204409724037,1359276000
2011-02-14,0.5297012329101562,0.5615612223434459,0.5276383405637095,0.5443705620849276,1287828000
2011-02-15,0.5168654322624207,0.5324515807322101,0.5145732937429445,0.5306179354937373,886980000
2011-02-16,0.5358899235725403,0.5434538084921905,0.521908168751085,0.5237418692862905,1318364000
2011-02-17,0.5886077284812927,0.5961716108635579,0.5182406484789203,0.5207619790380694,3470096000
2011-02-18,0.5874617695808411,0.5947964613440885,0.5782934322005825,0.5853988772760025,1394412000
2011-02-22,0.5319932699203491,0.5698126863322038,0.5301595697820667,0.5682082328659551,1396648000
2011-02-23,0.5067803263664246,0.5370358617139601,0.4992164425295406,0.5319933089211053,1491604000
2011-02-24,0.5191575288772583,0.5280966179437149,0.5056342173069176,0.5093015078738785,1246120000
2011-02-25,0.5299301743507385,0.5386400690597068,0.5258043916089298,0.5331390800515385,775652000
2011-02-28,0.5193868279457092,0.5388695726750534,0.5074679672032772,0.5386403259816662,903696000
2011-03-01,0.4962368607521057,0.5269508430831997,0.4962368607521057,0.5203037802726684,988448000
2011-03-02,0.47560784220695496,0.5049465469694424,0.4641474234671365,0.49554896534948023,1718140000
2011-03-03,0.4783584177494049,0.4893604550083056,0.4639182814173224,0.48660993203168057,1593704000
2011-03-04,0.4758370518684387,0.48363012597156974,0.47056525358747614,0.4788167663162693,959760000
2011-03-07,0.4691900312900543,0.48087969806231334,0.457271199833538,0.4792752447107472,1019140000
2011-03-08,0.44810280203819275,0.47675384838458046,0.4382468093064837,0.47423257270037417,1947184000
2011-03-09,0.4387052357196808,0.4510825037917514,0.43480867166578546,0.4467275284738073,1318976000
2011-03-10,0.41074177622795105,0.4318289394065507,0.4102833376592799,0.42862003336859966,1722736000
2011-03-11,0.41372159123420715,0.4251820398516637,0.4047824735546747,0.4141800299449932,1486832000
2011-03-14,0.4171597361564636,0.4274741151034287,0.4102834562013545,0.4169305168059003,1003360000
2011-03-15,0.40478238463401794,0.4116586358996701,0.3898838129013113,0.39676006416696347,1256280000
2011-03-16,0.40180280804634094,0.4205979231420997,0.3965310081371355,0.40111517721926143,1476520000
2011-03-17,0.40936651825904846,0.4132630548556226,0.39423875579730017,0.4125754243212174,1238516000
2011-03-18,0.4038655459880829,0.41715966492722856,0.4034071346890282,0.4157844037062702,886960000
2011-03-21,0.4070744216442108,0.41670116684591013,0.4029486658938281,0.4125754110955274,751832000
2011-03-22,0.3999691903591156,0.40982516071585995,0.3981355170074737,0.40592862192100015,718332000
2011-03-23,0.4082205593585968,0.4093666013740261,0.39057149046194783,0.39928141524397,782396000
2011-03-24,0.44076815247535706,0.4458107589508161,0.41601364071179625,0.41693046334890027,1780592000
2011-03-25,0.4270157217979431,0.44581083497799606,0.42632809104095093,0.4446647928242758,1196392000
2011-03-28,0.44283100962638855,0.4501656721187388,0.43320423607364833,0.4371007729611038,1204284000
